unique_key;created_date;closed_date;descriptor_raw;descriptor_len;registro_escritura;complaint_type;descriptor;priority;agency;sla_dias;ubigeo;departamento;provincia;distrito;incident_address;latitude;longitude;reporter_name;reporter_email;reporter_phone;sector;open_data_channel_type;attachment_count;acepta_politica_privacidad;status;dias_resolucion;cumple_sla;dni;confianza;evidencia
PE311-2024-000001;4/10/2024 12:30;13/10/2024 20:30;Buenas tardes, reporto que las luminarias de la cuadra 5 de Jr. Amazonas, Lima, no funcionan. Somos varios vecinos afectados.;125;coloquial;ALUMBRADO_PUBLICO;POSTE_APAGADO;MEDIA;CONCESIONARIA_ELECTRICA;7;150101;LIMA;LIMA;LIMA;Jr. Amazonas Cdra. 5;-12.031297;-77.05273;Lucia Ccahuana Diaz;lucia.ccahuana73@example.pe;942335483;CIUDADANO;APP_MOVIL;0;1;CERRADO;9.33;0;4000;;Sin evidencia adjunta
PE311-2026-000002;15/06/2026 22:42;17/06/2026 22:42;Comunico una fuga de agua potable en la calzada de Jr. Amazonas cuadra 17, Lima, que viene desperdiciando agua de manera continua desde hace 37 dias. Solicito la reparacion de la tuberia.;187;formal;AGUA_Y_SANEAMIENTO;FUGA_AGUA_POTABLE;MEDIA;EPS_SANEAMIENTO;3;150101;LIMA;LIMA;LIMA;Jr. Amazonas Cdra. 17;-12.058892;-77.022194;Jose Cordova Ramos;jose.cordova90@example.pe;931095953;CIUDADANO;WEB;2;1;CERRADO;2;1;4001;;2 archivo(s) adjunto(s)
PE311-2025-000003;3/10/2025 23:57;8/10/2025 15:57;La camara de seguridad de Av. Wiese cuadra 7, Lima esta rota hace tiempo. De que sirve si no funciona.;102;coloquial;SEGURIDAD_CIUDADANA;CAMARA_INOPERATIVA;MEDIA;SERENAZGO;2;150101;LIMA;LIMA;LIMA;Av. Wiese Cdra. 7;-12.040266;-77.064442;Ricardo Rojas Quispe;ricardo.rojas39@example.pe;974594342;CIUDADANO;TELEFONO;0;1;CERRADO;4.67;0;4002;;Sin evidencia adjunta
PE311-2026-000004;12/05/2026 18:25;;Informo que el terreno baldio ubicado en Av. Universitaria cuadra 12, Lima, se ha convertido en un punto critico de acumulacion de residuos. Solicito operativo de limpieza y colocacion de senalizacion preventiva.;212;formal;LIMPIEZA_PUBLICA;PUNTO_CRITICO_BASURA;MEDIA;MUNICIPALIDAD_DISTRITAL;5;150101;LIMA;LIMA;LIMA;Av. Universitaria Cdra. 12;-12.029472;-77.05406;Carlos Rojas Castillo;carlos.rojas31@example.pe;972392733;CIUDADANO;TELEFONO;0;1;RECIBIDO;;;4003;;Sin evidencia adjunta
PE311-2024-000005;25/05/2024 00:34;;Solicito la poda de los arboles ubicados en Av. Colonial cuadra 12, Lima, cuyas ramas obstruyen la senalizacion y el alumbrado publico.;135;formal;AREAS_VERDES;PODA_PENDIENTE;BAJA;MUNICIPALIDAD_DISTRITAL;20;150101;LIMA;LIMA;LIMA;Av. Colonial Cdra. 12;-12.056623;-77.038843;Gabriela Chavez Chavez;gabriela.chavez51@example.pe;924300109;CIUDADANO;WEB;0;1;RECHAZADO;;;4004;;Sin evidencia adjunta
PE311-2024-000006;2/02/2024 20:55;27/02/2024 21:55;Por medio de la presente comunico la existencia de un bache de considerable magnitud en la calzada de Av. Tupac Amaru a la altura de la cuadra 16, Piura. El deterioro viene generando riesgo para los vehiculos que transitan por dicha via. Solicito se disponga la inspeccion y reparacion correspondiente.;302;formal;VIA_PUBLICA;BACHE_PISTA;BAJA;MUNICIPALIDAD_DISTRITAL;15;200101;PIURA;PIURA;PIURA;Av. Tupac Amaru Cdra. 16;-5.205303;-80.634572;Maria Diaz Ccahuana;maria.diaz64@example.pe;997128604;CIUDADANO;WEB;0;1;CERRADO;25.04;0;4005;;Sin evidencia adjunta
PE311-2024-000007;22/03/2024 16:25;4/04/2024 06:25;semaforo malogrado av. el sol 20 callao, todos pasan de frente, un peligro;74;informal;TRANSPORTE_Y_TRANSITO;SEMAFORO_MALOGRADO;MEDIA;MUNICIPALIDAD_PROVINCIAL;10;70101;CALLAO;CALLAO;CALLAO;Av. El Sol Cdra. 20;-12.041663;-77.097291;Rosa Quispe Rojas;rosa.quispe31@example.pe;951713993;CIUDADANO;WEB;1;1;CERRADO;12.58;0;4006;;1 archivo(s) adjunto(s)
PE311-2024-000008;11/01/2024 16:00;13/01/2024 20:00;Hay una fuga de agua en Jr. Cusco cuadra 20, Lima. Se está perdiendo un monton de agua hace 40 dias y nadie viene.;114;coloquial;AGUA_Y_SANEAMIENTO;FUGA_AGUA_POTABLE;MEDIA;EPS_SANEAMIENTO;3;150101;LIMA;LIMA;LIMA;Jr. Cusco Cdra. 20;-12.058208;-77.056681;Juan Quispe Rojas;juan.quispe60@example.pe;916201318;CIUDADANO;TELEFONO;0;1;CERRADO;2.17;1;4007;;Sin evidencia adjunta
PE311-2024-000009;5/10/2024 21:43;;URGENTE. Comunico la existencia de un cable de energia colgando a baja altura sobre la vereda de Jr. Junin cuadra 16, Lima. Existe riesgo de electrocucion. Solicito intervencion inmediata.;188;formal;ALUMBRADO_PUBLICO;CABLE_CAIDO;ALTA;CONCESIONARIA_ELECTRICA;7;150101;LIMA;LIMA;LIMA;Jr. Junin Cdra. 16;-12.038751;-77.022551;Juan Vargas Alvarez;juan.vargas91@example.pe;962959732;INSTITUCION_PUBLICA;WEB;1;1;ASIGNADO;;;4008;;1 archivo(s) adjunto(s)
PE311-2025-000010;24/03/2025 00:29;3/04/2025 15:29;Todos los fines de semana ponen musica a todo volumen en Calle Las Begonias cuadra 19, San Martin De Porres hasta las 4 de la manana. No podemos dormir.;152;coloquial;CONTAMINACION_Y_RUIDO;RUIDO_NOCTURNO;MEDIA;MUNICIPALIDAD_DISTRITAL;10;150136;LIMA;LIMA;SAN MARTIN DE PORRES;Calle Las Begonias Cdra. 19;-12.006892;-77.084378;Luis Castillo Vargas;luis.castillo39@example.pe;945641402;CIUDADANO;WEB;0;1;CERRADO;10.62;0;4009;;Sin evidencia adjunta
